state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2797,RESIDENTIAL,47,220.8,47,220.8,0,0.0,0.0,0,0.0
NSW,2795,BUSINESS,168,3031.9,168,3026.9,1,5.0,9.0,0,0.0
NSW,2795,RESIDENTIAL,3159,15053.72,3156,14883.77,30,166.0,359.0,0,0.0
NSW,2794,BUSINESS,61,932.1,61,932.1,0,0.0,0.0,0,0.0
NSW,2794,RESIDENTIAL,860,3761.32,860,3714.32,10,47.0,88.0,0,0.0
NSW,2793,RESIDENTIAL,112,474.2,111,465.2,2,9.0,23.0,0,0.0
NSW,2792,RESIDENTIAL,38,272.3,38,272.3,0,0.0,0.0,0,0.0
NSW,2791,RESIDENTIAL,34,212.6,34,207.6,1,5.0,6.0,0,0.0
NSW,2790,BUSINESS,33,436.3,33,436.3,0,0.0,0.0,0,0.0
NSW,2790,RESIDENTIAL,914,4718.34,913,4712.34,0,0.0,0.0,1,6.0
NSW,2787,BUSINESS,20,228.5,20,228.5,0,0.0,0.0,0,0.0
NSW,2787,RESIDENTIAL,355,1670.4,353,1640.0,6,30.4,43.0,0,0.0
NSW,2786,RESIDENTIAL,107,438.8,107,438.8,0,0.0,0.0,0,0.0
NSW,2785,RESIDENTIAL,402,1712.88,402,1712.88,0,0.0,0.0,0,0.0
NSW,2784,RESIDENTIAL,124,522.9,124,522.9,0,0.0,0.0,0,0.0
NSW,2783,BUSINESS,10,65.0,10,65.0,0,0.0,0.0,0,0.0
NSW,2783,RESIDENTIAL,213,978.3,213,978.3,0,0.0,0.0,0,0.0
NSW,2782,BUSINESS,11,79.0,11,79.0,0,0.0,0.0,0,0.0
NSW,2782,RESIDENTIAL,508,2274.43,508,2274.43,0,0.0,0.0,0,0.0
NSW,2780,BUSINESS,33,333.7,33,333.7,0,0.0,0.0,0,0.0
NSW,2780,RESIDENTIAL,941,4044.2,941,4044.2,0,0.0,0.0,0,0.0
NSW,2779,RESIDENTIAL,382,1556.1,382,1556.1,0,0.0,0.0,0,0.0
NSW,2778,RESIDENTIAL,239,1190.6,239,1190.6,0,0.0,0.0,0,0.0
NSW,2777,BUSINESS,15,76.0,15,76.0,0,0.0,0.0,0,0.0
NSW,2777,RESIDENTIAL,1412,6714.6,1412,6714.6,0,0.0,0.0,0,0.0
NSW,2776,RESIDENTIAL,364,1714.7,364,1714.7,0,0.0,0.0,0,0.0
NSW,2775,RESIDENTIAL,117,547.7,117,532.7,2,15.0,12.4,0,0.0
NSW,2774,BUSINESS,13,65.0,13,65.0,0,0.0,0.0,0,0.0
NSW,2774,RESIDENTIAL,988,4712.5,988,4712.5,0,0.0,0.0,0,0.0
NSW,2773,RESIDENTIAL,482,2830.525,482,2830.525,0,0.0,0.0,0,0.0
NSW,2770,BUSINESS,69,665.3,69,665.3,0,0.0,0.0,0,0.0
NSW,2770,RESIDENTIAL,2576,11652.52,2576,11652.52,0,0.0,0.0,0,0.0
NSW,2769,RESIDENTIAL,1261,7798.8,1261,7798.8,0,0.0,0.0,0,0.0
NSW,2768,RESIDENTIAL,2254,11381.559,2254,11381.559,0,0.0,0.0,0,0.0
NSW,2767,BUSINESS,11,229.0,11,229.0,0,0.0,0.0,0,0.0
NSW,2767,RESIDENTIAL,2066,10586.449,2066,10586.449,0,0.0,0.0,0,0.0
NSW,2766,BUSINESS,47,872.8,47,872.8,0,0.0,0.0,0,0.0
NSW,2766,RESIDENTIAL,854,3932.8,854,3932.8,0,0.0,0.0,0,0.0
NSW,2765,BUSINESS,76,900.0,76,900.0,0,0.0,0.0,0,0.0
NSW,2765,RESIDENTIAL,1702,11618.145,1702,11618.145,0,0.0,0.0,0,0.0
NSW,2763,BUSINESS,18,196.5,18,196.5,0,0.0,0.0,0,0.0
NSW,2763,RESIDENTIAL,1946,9117.63,1945,9105.63,0,0.0,0.0,1,12.0
NSW,2762,RESIDENTIAL,828,5471.04,828,5471.04,0,0.0,0.0,0,0.0
NSW,2761,BUSINESS,36,631.0,36,631.0,0,0.0,0.0,0,0.0
NSW,2761,RESIDENTIAL,2357,11524.31,2357,11524.31,0,0.0,0.0,0,0.0
NSW,2760,BUSINESS,67,675.34,67,675.34,0,0.0,0.0,0,0.0
NSW,2760,RESIDENTIAL,1550,7910.875,1549,7897.875,0,0.0,0.0,1,13.0
NSW,2759,BUSINESS,18,546.9,18,546.9,0,0.0,0.0,0,0.0
NSW,2759,RESIDENTIAL,1819,8659.05,1819,8659.05,0,0.0,0.0,0,0.0
NSW,2758,BUSINESS,13,99.46,13,99.46,0,0.0,0.0,0,0.0
NSW,2758,RESIDENTIAL,611,3878.625,611,3878.625,0,0.0,0.0,0,0.0
NSW,2757,RESIDENTIAL,53,416.0,53,416.0,0,0.0,0.0,0,0.0
NSW,2756,BUSINESS,143,2555.2,143,2555.2,0,0.0,0.0,0,0.0
NSW,2756,RESIDENTIAL,1925,12025.135,1925,12025.135,0,0.0,0.0,0,0.0
NSW,2754,BUSINESS,10,60.0,10,60.0,0,0.0,0.0,0,0.0
NSW,2754,RESIDENTIAL,427,2606.86,427,2606.86,0,0.0,0.0,0,0.0
NSW,2753,BUSINESS,41,401.7,41,401.7,0,0.0,0.0,0,0.0
NSW,2753,RESIDENTIAL,980,5679.5,980,5679.5,0,0.0,0.0,0,0.0
NSW,2752,RESIDENTIAL,371,2249.8,371,2249.8,0,0.0,0.0,0,0.0
NSW,2750,BUSINESS,112,1125.1,112,1125.1,0,0.0,0.0,0,0.0
NSW,2750,RESIDENTIAL,2367,11691.0,2367,11691.0,0,0.0,0.0,0,0.0
NSW,2749,BUSINESS,10,120.0,10,120.0,0,0.0,0.0,0,0.0
NSW,2749,RESIDENTIAL,990,4844.82,989,4831.82,0,0.0,0.0,1,13.0
NSW,2748,BUSINESS,14,342.5,14,342.5,0,0.0,0.0,0,0.0
NSW,2748,RESIDENTIAL,131,712.5,131,712.5,0,0.0,0.0,0,0.0
NSW,2747,BUSINESS,41,271.0,41,271.0,0,0.0,0.0,0,0.0
NSW,2747,RESIDENTIAL,2798,15430.93,2798,15430.93,0,0.0,0.0,0,0.0
NSW,2745,BUSINESS,35,506.7,35,506.7,0,0.0,0.0,0,0.0
NSW,2745,RESIDENTIAL,2028,10559.46,2028,10559.46,0,0.0,0.0,0,0.0
NSW,2739,BUSINESS,10,145.1,10,145.1,0,0.0,0.0,0,0.0
NSW,2739,RESIDENTIAL,136,874.8,136,819.8,1,55.0,39.0,0,0.0
NSW,2738,BUSINESS,13,201.9,13,191.9,1,10.0,43.0,0,0.0
NSW,2738,RESIDENTIAL,188,1316.4,187,1261.4,5,55.0,102.0,0,0.0
NSW,2737,RESIDENTIAL,57,483.0,57,483.0,0,0.0,0.0,0,0.0
NSW,2736,RESIDENTIAL,41,204.7,41,204.7,0,0.0,0.0,0,0.0
NSW,2735,RESIDENTIAL,51,376.0,51,376.0,0,0.0,0.0,0,0.0
NSW,2734,RESIDENTIAL,24,160.8,24,160.8,0,0.0,0.0,0,0.0
NSW,2733,BUSINESS,10,192.6,10,192.6,0,0.0,0.0,0,0.0
NSW,2733,RESIDENTIAL,73,414.8,73,414.8,0,0.0,0.0,0,0.0
NSW,2732,BUSINESS,95,1419.0,93,1399.0,2,20.0,44.0,0,0.0
NSW,2732,RESIDENTIAL,188,1015.3,188,980.8,7,34.5,62.0,0,0.0
NSW,2731,BUSINESS,58,992.2,58,974.2,1,18.0,30.0,0,0.0
NSW,2731,RESIDENTIAL,785,3418.08,785,3396.48,5,21.6,16.0,0,0.0
NSW,2730,BUSINESS,13,245.5,13,245.5,0,0.0,0.0,0,0.0
NSW,2730,RESIDENTIAL,142,547.1,142,537.1,2,10.0,12.0,0,0.0
NSW,2729,BUSINESS,12,114.9,12,114.9,0,0.0,0.0,0,0.0
NSW,2729,RESIDENTIAL,212,960.5,212,960.5,0,0.0,0.0,0,0.0
NSW,2727,RESIDENTIAL,36,241.0,36,241.0,0,0.0,0.0,0,0.0
NSW,2726,RESIDENTIAL,33,213.4,33,209.4,1,4.0,13.0,0,0.0
NSW,2725,RESIDENTIAL,32,121.4,32,116.4,1,5.0,4.0,0,0.0
NSW,2722,BUSINESS,29,578.5,29,578.5,0,0.0,0.0,0,0.0
NSW,2722,RESIDENTIAL,294,1281.8,294,1271.8,2,10.0,22.0,0,0.0
NSW,2721,RESIDENTIAL,20,123.6,20,123.6,0,0.0,0.0,0,0.0
NSW,2720,BUSINESS,67,869.5,67,869.5,0,0.0,0.0,0,0.0
NSW,2720,RESIDENTIAL,759,3117.6,759,3079.6,7,38.0,64.0,0,0.0
NSW,2717,RESIDENTIAL,97,419.2,97,419.2,0,0.0,0.0,0,0.0
NSW,2716,BUSINESS,10,68.8,10,68.8,0,0.0,0.0,0,0.0
NSW,2716,RESIDENTIAL,173,938.7,173,938.7,0,0.0,0.0,0,0.0
NSW,2715,RESIDENTIAL,135,743.0,135,743.0,0,0.0,0.0,0,0.0
NSW,2714,BUSINESS,34,517.7,34,517.7,0,0.0,0.0,0,0.0
NSW,2714,RESIDENTIAL,464,1895.8,464,1895.8,0,0.0,0.0,0,0.0
NSW,2713,BUSINESS,44,696.6,44,696.6,0,0.0,0.0,0,0.0
NSW,2713,RESIDENTIAL,323,1600.2,323,1591.2,2,9.0,19.0,0,0.0
NSW,2712,BUSINESS,21,333.2,21,333.2,0,0.0,0.0,0,0.0
NSW,2712,RESIDENTIAL,185,775.2,185,775.2,0,0.0,0.0,0,0.0
NSW,2711,BUSINESS,41,1272.3,41,1272.3,0,0.0,0.0,0,0.0
NSW,2711,RESIDENTIAL,292,1617.8,291,1612.8,1,5.0,6.0,0,0.0
NSW,2710,BUSINESS,87,1196.6,87,1196.6,0,0.0,0.0,0,0.0
NSW,2710,RESIDENTIAL,1073,5140.0,1072,5106.5,7,29.0,64.0,0,0.0
NSW,2707,BUSINESS,22,313.4,22,313.4,0,0.0,0.0,0,0.0
NSW,2707,RESIDENTIAL,108,569.6,108,569.6,0,0.0,0.0,0,0.0
NSW,2706,BUSINESS,13,997.5,13,997.5,0,0.0,0.0,0,0.0
NSW,2706,RESIDENTIAL,127,601.9,127,601.9,0,0.0,0.0,0,0.0
NSW,2705,BUSINESS,91,1581.5,91,1581.5,0,0.0,0.0,0,0.0
NSW,2705,RESIDENTIAL,831,4434.9,831,4409.9,5,25.0,48.0,0,0.0
NSW,2703,RESIDENTIAL,70,365.3,70,360.3,1,5.0,6.0,0,0.0
NSW,2702,BUSINESS,13,92.1,13,92.1,0,0.0,0.0,0,0.0
NSW,2702,RESIDENTIAL,94,398.1,94,396.1,1,2.0,2.0,0,0.0
NSW,2701,BUSINESS,21,312.0,21,312.0,0,0.0,0.0,0,0.0
NSW,2701,RESIDENTIAL,219,1057.7,219,1052.7,1,5.0,6.0,0,0.0
NSW,2700,BUSINESS,33,583.8,33,579.8,1,4.0,4.0,0,0.0
NSW,2700,RESIDENTIAL,435,2119.0,435,2104.0,3,15.0,36.0,0,0.0
NSW,2681,BUSINESS,22,453.7,22,453.7,0,0.0,0.0,0,0.0
NSW,2681,RESIDENTIAL,152,801.4,152,801.4,0,0.0,0.0,0,0.0
NSW,2680,BUSINESS,222,5068.1,222,5018.1,1,50.0,420.0,0,0.0
NSW,2680,RESIDENTIAL,1793,9587.733,1791,9510.233,14,77.5,118.0,0,0.0
NSW,2675,BUSINESS,22,613.1,22,613.1,0,0.0,0.0,0,0.0
NSW,2675,RESIDENTIAL,140,708.3,140,708.3,0,0.0,0.0,0,0.0
NSW,2672,BUSINESS,20,453.68,20,453.68,0,0.0,0.0,0,0.0
NSW,2672,RESIDENTIAL,197,990.7,197,990.7,0,0.0,0.0,0,0.0
NSW,2671,BUSINESS,48,892.9,48,892.9,0,0.0,0.0,0,0.0
NSW,2671,RESIDENTIAL,384,1780.0,384,1775.0,1,5.0,13.0,0,0.0
NSW,2669,BUSINESS,15,139.5,15,139.5,0,0.0,0.0,0,0.0
NSW,2669,RESIDENTIAL,158,813.5,158,813.5,0,0.0,0.0,0,0.0
NSW,2668,RESIDENTIAL,51,209.7,51,209.7,0,0.0,0.0,0,0.0
NSW,2666,BUSINESS,27,431.9,27,431.9,0,0.0,0.0,0,0.0
NSW,2666,RESIDENTIAL,473,2628.3,473,2619.3,2,9.0,12.0,0,0.0
NSW,2665,BUSINESS,25,235.9,25,235.9,0,0.0,0.0,0,0.0
NSW,2665,RESIDENTIAL,179,918.4,179,918.4,0,0.0,0.0,0,0.0
NSW,2663,BUSINESS,24,520.0,24,520.0,0,0.0,0.0,0,0.0
NSW,2663,RESIDENTIAL,361,1543.2,361,1538.2,1,5.0,7.0,0,0.0
NSW,2660,BUSINESS,11,192.8,11,192.8,0,0.0,0.0,0,0.0
NSW,2660,RESIDENTIAL,209,943.9,209,943.9,0,0.0,0.0,0,0.0
NSW,2659,RESIDENTIAL,118,563.4,117,552.4,2,11.0,15.0,0,0.0
NSW,2658,BUSINESS,12,154.2,12,154.2,0,0.0,0.0,0,0.0
NSW,2658,RESIDENTIAL,191,860.2,191,860.2,0,0.0,0.0,0,0.0
NSW,2656,RESIDENTIAL,163,813.59,163,813.59,0,0.0,0.0,0,0.0
NSW,2655,RESIDENTIAL,180,844.5,180,839.5,1,5.0,14.0,0,0.0
NSW,2653,BUSINESS,32,330.9,32,330.9,0,0.0,0.0,0,0.0
NSW,2653,RESIDENTIAL,273,1156.5,273,1156.5,0,0.0,0.0,0,0.0
