state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
SA,5120,BUSINESS,122,3450.9,122,3450.9,0,0,0,0,0
SA,5270,RESIDENTIAL,124,596.2,122,584.1,3,12.1,23.5,0,0
SA,5015,BUSINESS,126,2105.2,125,2100.2,1,5,9.8,0,0
SA,5485,RESIDENTIAL,126,641,126,617.6,4,23.4,49.9,0,0
SA,5577,RESIDENTIAL,127,516.8,123,494.3,5,22.5,47.6,0,0
SA,5014,BUSINESS,129,2235.775,128,2220.775,1,15,42,0,0
SA,5094,BUSINESS,129,6612.5,129,6612.5,0,0,0,0,0
SA,5350,RESIDENTIAL,130,797.18,128,778.38,4,18.8,47.3,0,0
SA,5033,BUSINESS,131,2540.72,131,2516.12,2,24.6,37.5,0,0
SA,5307,RESIDENTIAL,131,585.2,128,555.2,3,30,32.4,0,0
SA,5453,BUSINESS,132,1997.6,130,1977.6,3,20,42.7,0,0
SA,5110,BUSINESS,136,2877.1,136,2877.1,0,0,0,0,0
SA,5333,BUSINESS,136,3694.71,135,3689.71,1,5,9.6,0,0
SA,5162,BUSINESS,137,2262.85,136,2257.85,1,5,9.8,0,0
SA,5108,BUSINESS,138,2165.99,138,2165.99,0,0,0,0,0
SA,5355,BUSINESS,138,3023.1,138,3023.1,0,0,0,0,0
SA,5007,BUSINESS,140,2650.2,137,2635.2,3,15,42,0,0
SA,5171,BUSINESS,141,2666.16,141,2666.16,0,0,0,0,0
SA,5481,RESIDENTIAL,144,765.2,143,752.8,2,12.5,39.2,0,0
SA,5356,RESIDENTIAL,147,673.72,145,652.12,3,21.6,37.1,0,0
SA,5700,BUSINESS,147,2718.44,147,2718.44,0,0,0,0,0
SA,5302,RESIDENTIAL,148,714.2,148,714.2,0,0,0,0,0
SA,5095,BUSINESS,151,6494.876,149,6466.876,2,28,49,0,0
SA,5156,RESIDENTIAL,151,761.34,146,721.54,5,39.8,145.8,0,0
SA,5291,BUSINESS,156,2425.8,155,2381.7,9,40.6,83.3,0,0
SA,5460,RESIDENTIAL,157,673.65,154,655.35,4,18.2,41.1,0,0
SA,5555,RESIDENTIAL,157,719.4,152,678.8,8,40.6,98.9,0,0
SA,5118,BUSINESS,158,2876.46,158,2876.46,0,0,0,0,0
SA,5255,BUSINESS,158,2816.84,157,2806.84,1,10,28,0,0
SA,5401,RESIDENTIAL,158,735.4,155,719.6,3,15.8,42,0,0
SA,5094,RESIDENTIAL,160,618.2,158,608.2,2,10,24.3,0,0
