state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
QLD,4822,BUSINESS,14,269.7,14,259.7,1,10,10,0,0
QLD,4887,BUSINESS,14,234.3,14,224.3,1,10,19.6,0,0
SA,5144,BUSINESS,14,206.9,14,206.9,0,0,0,0,0
SA,5253,(blank),14,5397.4,14,5372.4,3,25,37.9,0,0
SA,5331,BUSINESS,14,204.3,14,204.3,0,0,0,0,0
SA,5572,BUSINESS,14,105.2,14,105.2,0,0,0,0,0
TAS,7011,BUSINESS,14,176.8,13,170.5,0,0,0,1,6.3
TAS,7116,BUSINESS,14,139.1,14,139.1,0,0,0,0,0
TAS,7187,RESIDENTIAL,14,84.4,14,84.4,0,0,0,0,0
VIC,3237,BUSINESS,14,298.1,14,298.1,0,0,0,0,0
VIC,3311,BUSINESS,14,225.42,14,225.42,0,0,0,0,0
VIC,3324,BUSINESS,14,131.745,13,125.745,1,6,10.1,0,0
VIC,3332,BUSINESS,14,658.4,14,653.8,1,4.6,10.3,0,0
VIC,3333,BUSINESS,14,308,14,308,0,0,0,0,0
VIC,3335,(blank),14,118.9,14,118.9,0,0,0,0,0
VIC,3388,BUSINESS,14,156.9,14,156.9,0,0,0,0,0
VIC,3562,BUSINESS,14,373.26,14,373.26,0,0,0,0,0
VIC,3583,BUSINESS,14,322,14,322,0,0,0,0,0
VIC,3664,BUSINESS,14,135.13,13,128.53,0,0,0,1,6.6
VIC,3718,RESIDENTIAL,14,93.48,14,93.48,0,0,0,0,0
VIC,3740,BUSINESS,14,189.41,14,189.41,0,0,0,0,0
VIC,3765,BUSINESS,14,457.265,14,457.265,0,0,0,0,0
VIC,3781,BUSINESS,14,117.9,14,117.9,0,0,0,0,0
VIC,3788,BUSINESS,14,212.76,13,190.36,1,22.4,95.9,0,0
VIC,3896,BUSINESS,14,146.06,14,146.06,0,0,0,0,0
VIC,3966,BUSINESS,14,152.44,14,152.44,0,0,0,0,0
NSW,2008,BUSINESS,15,2738.2,13,353.2,1,5,9.8,2,2380
NSW,2039,BUSINESS,15,178.7,15,178.7,0,0,0,0,0
NSW,2096,BUSINESS,15,181,15,171,1,10,13.5,0,0
NSW,2173,BUSINESS,15,254.1,15,254.1,0,0,0,0,0
NSW,2174,BUSINESS,15,192.1,11,190.7,0,0,0,4,1.4
NSW,2179,(blank),15,150.2,15,150.2,0,0,0,0,0
NSW,2258,BUSINESS,15,582.9,15,582.9,0,0,0,0,0
NSW,2296,BUSINESS,15,190.3,15,190.3,0,0,0,0,0
NSW,2356,RESIDENTIAL,15,63,15,63,0,0,0,0,0
NSW,2423,BUSINESS,15,177,15,173,1,4,9,0,0
NSW,2425,BUSINESS,15,347,14,343,1,4,6,0,0
NSW,2669,BUSINESS,15,139.5,15,139.5,0,0,0,0,0
NSW,2758,BUSINESS,15,159.56,15,159.56,0,0,0,0,0
NSW,3644,BUSINESS,15,542,15,542,0,0,0,0,0
NSW,4380,RESIDENTIAL,15,91.7,15,91.7,0,0,0,0,0
QLD,4217,(blank),15,181.7,15,181.7,0,0,0,0,0
QLD,4426,RESIDENTIAL,15,101.3,15,101.3,0,0,0,0,0
QLD,4467,BUSINESS,15,124.8,15,124.8,0,0,0,0,0
QLD,4678,BUSINESS,15,184.7,15,179.7,1,5,7,0,0
QLD,4706,RESIDENTIAL,15,100.8,15,85.8,2,15,20,0,0
QLD,4825,BUSINESS,15,1215.7,12,1147.5,1,58,232,2,10.2
QLD,4855,BUSINESS,15,247,15,247,0,0,0,0,0
QLD,4856,BUSINESS,15,167.2,15,167.2,0,0,0,0,0
SA,5024,(blank),15,137,14,127,2,10,20.9,0,0
SA,5050,BUSINESS,15,155.3,15,150.3,1,5,2.4,0,0
SA,5086,(blank),15,122.4,15,112.4,1,10,11.6,0,0
SA,5109,(blank),15,289.3,15,289.3,0,0,0,0,0
SA,5121,(blank),15,112.6,15,97.6,2,15,17.4,0,0
SA,5204,(blank),15,112.3,14,94.8,3,17.5,23.9,0,0
SA,5350,BUSINESS,15,313.1,15,313.1,0,0,0,0,0
SA,5355,(blank),15,132.6,14,92.6,5,40,50.9,0,0
SA,5360,BUSINESS,15,243.7,15,243.7,0,0,0,0,0
SA,5400,BUSINESS,15,178.6,15,178.6,0,0,0,0,0
SA,5415,BUSINESS,15,133.2,11,103.2,4,30,84,0,0
SA,5419,BUSINESS,15,98.9,15,89.3,2,9.6,19.8,0,0
SA,5633,BUSINESS,15,277.3,15,277.3,0,0,0,0,0
SA,5653,RESIDENTIAL,15,67.7,15,67.7,0,0,0,0,0
TAS,7017,BUSINESS,15,265.6,15,265.6,0,0,0,0,0
TAS,7019,BUSINESS,15,172.78,15,172.78,0,0,0,0,0
TAS,7026,BUSINESS,15,338.3,15,328.3,1,10,13.8,0,0
TAS,7120,BUSINESS,15,376.9,15,376.9,0,0,0,0,0
TAS,7262,BUSINESS,15,183.7,15,183.7,0,0,0,0,0
