state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2095,BUSINESS,25,2424.4,24,316.4,1,8.0,5.8,1,2100.0
NSW,2095,RESIDENTIAL,281,1499.9,277,1297.4,31,202.6,326.7,0,0.0
NSW,2096,BUSINESS,16,186.3,16,176.3,1,10.0,13.5,0,0.0
NSW,2096,RESIDENTIAL,478,2362.4,475,2179.7,26,182.8,267.2,0,0.0
NSW,2097,RESIDENTIAL,686,2937.2,682,2856.6,14,80.5,151.2,0,0.0
NSW,2099,BUSINESS,45,1207.7,44,807.7,0,0.0,0.0,1,400.0
NSW,2099,RESIDENTIAL,1280,5688.0,1276,5444.6,41,243.4,364.5,0,0.0
NSW,2100,BUSINESS,82,2165.4,82,2110.4,2,55.0,17.8,0,0.0
NSW,2100,RESIDENTIAL,1049,4928.0,1044,4708.9,36,219.2,329.4,0,0.0
NSW,2101,BUSINESS,28,367.7,28,361.7,1,6.0,7.4,0,0.0
NSW,2101,RESIDENTIAL,726,3405.4,720,3214.9,30,190.5,300.9,0,0.0
NSW,2102,BUSINESS,20,1340.6,19,568.6,0,0.0,0.0,1,772.0
NSW,2102,RESIDENTIAL,419,1674.45,416,1625.45,10,49.0,83.4,0,0.0
NSW,2103,BUSINESS,31,730.5,31,730.5,0,0.0,0.0,0,0.0
NSW,2103,RESIDENTIAL,454,2160.7,447,2024.8,23,136.1,214.1,0,0.0
NSW,2104,RESIDENTIAL,178,954.3,176,905.8,9,48.5,97.6,0,0.0
NSW,2105,RESIDENTIAL,96,566.9,96,472.0,15,94.9,157.9,0,0.0
NSW,2106,RESIDENTIAL,321,1473.6,316,1374.0,17,99.6,173.7,0,0.0
NSW,2107,BUSINESS,21,364.7,20,359.7,1,5.0,14.0,0,0.0
NSW,2107,RESIDENTIAL,655,3389.42,651,3114.82,44,274.7,442.4,0,0.0
NSW,2108,RESIDENTIAL,91,447.6,89,400.6,9,47.1,85.5,0,0.0
NSW,2110,BUSINESS,11,210.7,11,210.7,0,0.0,0.0,0,0.0
NSW,2110,RESIDENTIAL,323,1737.1,320,1591.8,21,145.2,207.7,0,0.0
NSW,2111,BUSINESS,25,374.1,25,374.1,0,0.0,0.0,0,0.0
NSW,2111,RESIDENTIAL,530,2597.73,526,2525.13,11,72.6,105.0,0,0.0
NSW,2112,BUSINESS,23,630.6,23,630.6,0,0.0,0.0,0,0.0
NSW,2112,RESIDENTIAL,1012,4687.5,1008,4560.5,21,127.1,220.9,0,0.0
NSW,2113,BUSINESS,35,1660.7,35,1660.7,0,0.0,0.0,0,0.0
NSW,2113,RESIDENTIAL,693,3149.0,690,3045.0,17,104.2,136.0,0,0.0
NSW,2114,BUSINESS,30,463.1,30,433.6,4,29.5,30.1,0,0.0
NSW,2114,RESIDENTIAL,709,2998.08,708,2947.18,8,50.8,92.9,0,0.0
NSW,2115,RESIDENTIAL,310,1452.8,310,1452.8,0,0.0,0.0,0,0.0
NSW,2116,BUSINESS,38,450.1,37,420.2,0,0.0,0.0,1,29.9
NSW,2116,RESIDENTIAL,182,954.6,182,954.6,0,0.0,0.0,0,0.0
NSW,2117,BUSINESS,13,259.9,13,259.9,0,0.0,0.0,0,0.0
NSW,2117,RESIDENTIAL,589,2820.6,589,2820.6,0,0.0,0.0,0,0.0
NSW,2118,BUSINESS,16,84.9,16,84.9,0,0.0,0.0,0,0.0
NSW,2118,RESIDENTIAL,1114,5774.38,1114,5761.38,2,13.0,9.9,0,0.0
NSW,2119,RESIDENTIAL,575,2811.96,572,2686.76,19,125.1,169.4,0,0.0
NSW,2120,BUSINESS,42,1147.8,41,1139.6,1,8.2,4.1,0,0.0
NSW,2120,RESIDENTIAL,1015,4760.3,1013,4571.4,24,189.0,280.0,0,0.0
NSW,2121,BUSINESS,22,204.2,22,204.2,0,0.0,0.0,0,0.0
NSW,2121,RESIDENTIAL,1155,5071.5,1152,5000.7,15,70.8,112.8,0,0.0
NSW,2122,BUSINESS,33,685.9,33,685.9,0,0.0,0.0,0,0.0
NSW,2122,RESIDENTIAL,1128,4391.4,1125,4347.1,9,44.3,63.7,0,0.0
NSW,2125,RESIDENTIAL,1068,5572.49,1068,5567.79,1,4.7,6.0,0,0.0
NSW,2126,RESIDENTIAL,1422,5988.97,1412,5870.97,23,118.0,236.0,0,0.0
NSW,2127,BUSINESS,35,2145.6,34,1625.6,0,0.0,0.0,1,520.0
NSW,2127,RESIDENTIAL,1107,1097.0,1107,1097.0,0,0.0,0.0,0,0.0
NSW,2128,RESIDENTIAL,37,149.9,37,144.9,1,5.0,14.0,0,0.0
NSW,2128,BUSINESS,69,2840.9,69,2840.9,0,0.0,0.0,0,0.0
NSW,2130,RESIDENTIAL,131,518.0,129,500.5,4,17.5,45.4,0,0.0
NSW,2131,BUSINESS,25,712.0,25,712.0,0,0.0,0.0,0,0.0
NSW,2131,RESIDENTIAL,403,1610.3,402,1562.2,9,48.1,94.0,0,0.0
NSW,2132,RESIDENTIAL,327,1298.0,326,1268.5,6,29.5,52.8,0,0.0
NSW,2133,RESIDENTIAL,305,1211.9,304,1181.6,5,30.3,41.0,0,0.0
NSW,2134,BUSINESS,21,440.5,21,440.5,0,0.0,0.0,0,0.0
NSW,2134,RESIDENTIAL,253,996.9,251,974.4,6,22.5,68.5,0,0.0
NSW,2135,BUSINESS,24,669.9,24,669.9,0,0.0,0.0,0,0.0
NSW,2135,RESIDENTIAL,723,3594.0,720,3511.8,14,82.3,139.1,0,0.0
NSW,2136,BUSINESS,26,816.5,26,816.5,0,0.0,0.0,0,0.0
NSW,2136,RESIDENTIAL,225,937.5,224,891.6,6,46.0,63.8,0,0.0
NSW,2137,BUSINESS,31,540.3,31,540.3,0,0.0,0.0,0,0.0
NSW,2137,RESIDENTIAL,730,3396.6,724,3237.6,24,159.0,263.9,0,0.0
NSW,2138,BUSINESS,27,2072.9,27,2072.9,0,0.0,0.0,0,0.0
NSW,2138,RESIDENTIAL,335,1454.7,332,1420.0,7,34.6,64.4,0,0.0
NSW,2140,BUSINESS,34,4125.4,34,4125.4,0,0.0,0.0,0,0.0
NSW,2140,RESIDENTIAL,122,424.2,120,409.2,3,15.0,42.0,0,0.0
NSW,2141,BUSINESS,45,1576.5,45,1551.5,1,25.0,7.4,0,0.0
NSW,2141,RESIDENTIAL,1060,3730.9,1058,3696.9,7,34.1,67.9,0,0.0
NSW,2142,BUSINESS,35,224.5,35,224.5,0,0.0,0.0,0,0.0
NSW,2142,RESIDENTIAL,515,2266.7,515,2266.7,0,0.0,0.0,0,0.0
NSW,2143,BUSINESS,26,587.59,26,579.39,1,8.2,7.4,0,0.0
NSW,2143,RESIDENTIAL,391,1431.4,391,1413.2,3,18.2,19.8,0,0.0
NSW,2144,BUSINESS,87,2838.9,86,2833.9,1,5.0,14.0,0,0.0
NSW,2144,RESIDENTIAL,847,3137.3,847,3092.9,6,44.5,53.3,0,0.0
NSW,2145,BUSINESS,88,1127.3,87,1127.0,0,0.0,0.0,1,0.3
NSW,2145,RESIDENTIAL,2842,13518.0,2842,13518.0,0,0.0,0.0,0,0.0
NSW,2146,BUSINESS,22,291.7,22,291.7,0,0.0,0.0,0,0.0
NSW,2146,RESIDENTIAL,840,3675.72,840,3675.72,0,0.0,0.0,0,0.0
NSW,2147,BUSINESS,79,694.4,79,694.4,0,0.0,0.0,0,0.0
NSW,2147,RESIDENTIAL,2177,9555.65,2177,9555.65,0,0.0,0.0,0,0.0
NSW,2148,BUSINESS,140,1793.5,137,1663.2,0,0.0,0.0,3,130.3
NSW,2148,RESIDENTIAL,2980,13016.85,2980,13016.85,0,0.0,0.0,0,0.0
NSW,2150,BUSINESS,31,330.7,31,330.7,0,0.0,0.0,0,0.0
NSW,2150,RESIDENTIAL,152,752.4,152,752.4,0,0.0,0.0,0,0.0
NSW,2151,BUSINESS,28,168.8,28,168.8,0,0.0,0.0,0,0.0
NSW,2151,RESIDENTIAL,599,2928.1,599,2928.1,0,0.0,0.0,0,0.0
NSW,2152,RESIDENTIAL,383,1705.0,383,1705.0,0,0.0,0.0,0,0.0
NSW,2153,BUSINESS,44,559.0,44,559.0,0,0.0,0.0,0,0.0
NSW,2153,RESIDENTIAL,3485,17816.31,3485,17816.31,0,0.0,0.0,0,0.0
NSW,2154,BUSINESS,29,375.7,29,375.7,0,0.0,0.0,0,0.0
NSW,2154,RESIDENTIAL,2169,11091.03,2166,11030.83,11,60.2,110.8,0,0.0
NSW,2155,BUSINESS,41,535.3,41,535.3,0,0.0,0.0,0,0.0
NSW,2155,RESIDENTIAL,4383,25074.325,4381,25048.325,0,0.0,0.0,2,26.0
NSW,2156,BUSINESS,20,86.0,20,86.0,0,0.0,0.0,0,0.0
NSW,2156,RESIDENTIAL,875,4574.49,875,4574.49,0,0.0,0.0,0,0.0
NSW,2157,RESIDENTIAL,230,1240.4,229,1235.4,1,5.0,14.0,0,0.0
NSW,2158,BUSINESS,26,684.1,26,640.1,2,44.0,38.4,0,0.0
NSW,2158,RESIDENTIAL,449,2523.8,444,2469.5,8,54.0,74.6,1,0.3
NSW,2159,BUSINESS,14,277.4,14,277.4,0,0.0,0.0,0,0.0
NSW,2159,RESIDENTIAL,367,2357.4,365,2277.4,12,80.0,151.2,0,0.0
NSW,2160,BUSINESS,24,153.4,24,153.4,0,0.0,0.0,0,0.0
NSW,2160,RESIDENTIAL,840,3887.8,840,3887.8,0,0.0,0.0,0,0.0
NSW,2161,BUSINESS,66,1228.5,66,1228.5,0,0.0,0.0,0,0.0
NSW,2161,RESIDENTIAL,849,3848.8,849,3848.8,0,0.0,0.0,0,0.0
NSW,2162,BUSINESS,38,690.8,38,690.8,0,0.0,0.0,0,0.0
