state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3814,BUSINESS,26,607.58,25,601.08,1,6.5,5.9,0,0
VIC,3054,BUSINESS,27,250.68,27,250.68,0,0,0,0,0
VIC,3237,RESIDENTIAL,27,131.075,26,126.075,1,5,14,0,0
VIC,3281,BUSINESS,27,667.8,27,667.8,0,0,0,0,0
VIC,3335,BUSINESS,27,429.66,27,429.66,0,0,0,0,0
VIC,3375,RESIDENTIAL,27,159.1,27,154.1,1,5,6.9,0,0
VIC,3409,BUSINESS,27,303.4,27,303.4,0,0,0,0,0
VIC,3420,RESIDENTIAL,27,134.46,27,134.46,0,0,0,0,0
VIC,3424,BUSINESS,27,318.525,27,318.525,0,0,0,0,0
VIC,3482,RESIDENTIAL,27,161.83,27,151.83,1,10,7.1,0,0
VIC,3580,BUSINESS,27,529.35,27,529.35,0,0,0,0,0
VIC,3614,BUSINESS,27,384.7,27,384.7,0,0,0,0,0
VIC,3639,BUSINESS,27,784.5,27,784.5,0,0,0,0,0
VIC,3111,BUSINESS,28,790.5,28,770.5,1,20,44.8,0,0
VIC,3143,BUSINESS,28,442.155,28,442.155,0,0,0,0,0
VIC,3197,BUSINESS,28,442.1,25,432.1,3,10,14,0,0
VIC,3303,RESIDENTIAL,28,155.2,27,151.7,0,0,0,1,3.5
VIC,3390,BUSINESS,28,243.1,28,243.1,0,0,0,0,0
VIC,3391,RESIDENTIAL,28,162.4,28,162.4,0,0,0,0,0
VIC,3435,BUSINESS,28,9515.4,28,9505.4,1,10,19.3,0,0
VIC,3586,BUSINESS,28,577.4,27,572.4,1,5,10.2,0,0
VIC,3591,RESIDENTIAL,28,173.5,27,159,2,14.5,28.4,0,0
VIC,3612,BUSINESS,28,376,28,371,1,5,10.2,0,0
VIC,3796,BUSINESS,28,342.645,26,332.645,2,10,10,0,0
VIC,3815,BUSINESS,28,339.06,28,339.06,0,0,0,0,0
VIC,3151,BUSINESS,29,1823.95,28,1817.3,0,0,0,1,6.65
VIC,3414,BUSINESS,29,577.46,29,577.46,0,0,0,0,0
VIC,3507,RESIDENTIAL,29,145.9,29,142.9,1,3,5,0,0
VIC,3537,BUSINESS,29,592.6,29,592.6,0,0,0,0,0
VIC,3945,BUSINESS,29,278.22,28,257.72,2,20.5,21,0,0
VIC,3107,BUSINESS,30,571.2,28,468.2,1,3,5,1,100
VIC,3202,BUSINESS,30,1208.7,29,1195.7,2,13,22.1,0,0
VIC,3575,BUSINESS,30,754.4,30,744.4,1,10,15.4,0,0
VIC,3900,RESIDENTIAL,30,139,27,124,3,15,37.5,0,0
VIC,3103,BUSINESS,31,5514.6,31,5514.6,0,0,0,0,0
VIC,3185,BUSINESS,31,502.3,30,502.3,1,0,0,0,0
VIC,3206,BUSINESS,31,786.65,29,381.65,1,5,14,1,400
VIC,3467,BUSINESS,31,380.2,31,380.2,0,0,0,0,0
VIC,3520,RESIDENTIAL,31,120.96,31,120.96,0,0,0,0,0
VIC,3589,BUSINESS,31,803.485,31,803.485,0,0,0,0,0
VIC,3590,RESIDENTIAL,31,178.9,31,178.9,0,0,0,0,0
VIC,3738,RESIDENTIAL,31,153.79,31,153.79,0,0,0,0,0
VIC,3943,BUSINESS,31,477.3,30,472.3,2,5,14,0,0
VIC,3951,BUSINESS,31,290.29,31,290.29,0,0,0,0,0
VIC,3453,BUSINESS,32,5357.155,32,5357.155,0,0,0,0,0
VIC,3490,BUSINESS,32,714.1,32,714.1,0,0,0,0,0
VIC,3533,BUSINESS,32,444,32,429,2,15,15.2,0,0
VIC,3890,RESIDENTIAL,32,148.3,32,148.3,0,0,0,0,0
VIC,3142,BUSINESS,33,689.4,33,689.4,0,0,0,0,0
VIC,3274,RESIDENTIAL,33,179.36,31,166.36,2,13,16.6,0,0
VIC,3419,BUSINESS,33,272.28,33,272.28,0,0,0,0,0
VIC,3451,BUSINESS,33,345.36,33,340.36,1,5,13.8,0,0
VIC,3463,BUSINESS,33,445.6,33,445.6,0,0,0,0,0
VIC,3753,BUSINESS,33,280.84,33,280.84,0,0,0,0,0
VIC,3802,BUSINESS,33,357.1,33,357.1,0,0,0,0,0
VIC,3823,BUSINESS,33,543.125,33,523.125,2,20,20,0,0
VIC,3191,BUSINESS,34,431.9,34,431.9,0,0,0,0,0
VIC,3310,RESIDENTIAL,34,248.71,34,248.71,0,0,0,0,0
VIC,3373,BUSINESS,34,745.4,34,745.4,0,0,0,0,0
VIC,3527,BUSINESS,34,406.3,34,401.3,1,5,14,0,0
VIC,3566,BUSINESS,34,617,34,617,0,0,0,0,0
VIC,3804,BUSINESS,34,477.77,34,477.77,0,0,0,0,0
VIC,3889,RESIDENTIAL,34,166.44,31,139.64,3,26.8,26.3,0,0
VIC,3329,RESIDENTIAL,35,156.7,34,151.7,1,5,14,0,0
VIC,3433,RESIDENTIAL,35,225.76,35,215.76,2,10,28,0,0
VIC,3749,BUSINESS,35,16862.52,32,549.12,5,16313.4,16312.1,0,0
VIC,3797,BUSINESS,35,32199.82,32,680.32,2,31513.5,31514,1,6
VIC,3898,BUSINESS,35,615.87,29,331.77,6,284.1,38.5,0,0
VIC,3926,BUSINESS,35,627.3,34,616.3,3,11,25,0,0
VIC,3964,RESIDENTIAL,35,171.84,35,171.84,0,0,0,0,0
VIC,3089,BUSINESS,36,612.99,36,612.99,0,0,0,0,0
VIC,3227,BUSINESS,36,1490.58,36,1490.58,0,0,0,0,0
VIC,3272,BUSINESS,36,333,35,328,1,5,14,0,0
VIC,3342,BUSINESS,36,5495.51,36,5495.51,0,0,0,0,0
VIC,3364,BUSINESS,36,453.76,36,429.76,1,24,15.4,0,0
VIC,3432,RESIDENTIAL,36,227.6,36,222.6,1,5,11,0,0
VIC,3483,BUSINESS,36,472.1,36,447.1,1,25,12.8,0,0
VIC,3544,RESIDENTIAL,36,202.95,35,199.95,1,3,5.1,0,0
VIC,3658,BUSINESS,36,456.745,36,456.745,0,0,0,0,0
VIC,3778,RESIDENTIAL,36,209.78,34,191.28,2,18.5,24,0,0
VIC,3831,BUSINESS,36,405.62,35,392.12,1,13.5,13.5,0,0
VIC,3049,BUSINESS,37,499.367,35,490.51,1,6,5.8,1,2.857
VIC,3161,BUSINESS,37,499.85,35,474.85,2,25,40.8,0,0
VIC,3177,BUSINESS,37,750.4,36,750.4,1,0,0,0,0
VIC,3293,RESIDENTIAL,37,682.3,37,682.3,0,0,0,0,0
VIC,3381,BUSINESS,37,786.2,37,606.8,1,179.4,61.2,0,0
VIC,3434,BUSINESS,37,348.005,36,340.005,2,8,19,0,0
VIC,3589,RESIDENTIAL,37,299.9,37,299.9,0,0,0,0,0
