STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DWTSTRD,Dwelling structure,SUM,Summation,REGION,Region,REGION_TYPE,Region Type,STATE,State,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,34,Flat or apartment: In a nine or more storey block,D,Dwellings,99799,Migratory - Offshore - Shipping (OT),LGA2021,Local Government Areas (2021),9,Other Territories,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,32,Flat or apartment: In a three storey block,D,Dwellings,10050,Albury,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,69,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,_N,Dwelling structure not stated,D,Dwellings,10300,Balranald,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,26,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,3,Flat or apartment: Total,D,Dwellings,10600,Bellingen,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,157,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,31,Flat or apartment: In a one or two storey block,D,Dwellings,11200,Brewarrina,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,3,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,21,"Semi-detached, row or terrace house, townhouse etc with: One storey",D,Dwellings,11400,Cabonne,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,60,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,93,"Other dwelling: Improvised home, tent, sleepers out",D,Dwellings,11730,Clarence Valley,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,19,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,11,Separate house,D,Dwellings,12390,Dubbo Regional,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,16444,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,2,"Semi-detached, row or terrace house, townhouse etc with: Total",D,Dwellings,12750,Eurobodalla,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,1379,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,22,"Semi-detached, row or terrace house, townhouse etc with: Two or more storeys",D,Dwellings,12850,Fairfield,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,6055,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,92,"Other dwelling: Cabin, houseboat",D,Dwellings,12930,Georges River,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,3,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,_T,Total private dwellings,D,Dwellings,12930,Georges River,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,56469,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,_N,Dwelling structure not stated,D,Dwellings,13340,Greater Hume Shire,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,16,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,N_OCC,Unoccupied private dwelling,D,Dwellings,13660,Gwydir,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,348,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,OCC,Total occupied private dwellings,D,Dwellings,13800,Hawkesbury,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,23060,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,93,"Other dwelling: Improvised home, tent, sleepers out",D,Dwellings,14000,Hornsby,LGA2021,Local Government Areas (2021),1,New South Wales,2021,,0,
