,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,2555,26.981,1,8.4
,2555,26.981,2,18.6
,2556,40.2134,1,25.9
,2556,40.2134,2,14.3
,2557,37.1205,1,37.1
,2558,7.6039,1,7.6
,2559,4.3495,1,4.3
,2560,411.3136,1,103.3
,2560,411.3136,2,308.1
,2563,11.5603,1,11.6
,2564,9.0236,1,9.0
,2565,29.7009,1,29.7
,2566,28.3019,1,28.3
,2567,31.1557,1,31.2
,2568,34.0936,1,22.8
,2568,34.0936,2,11.3
,2569,26.7707,1,6.6
,2569,26.7707,2,20.2
,2570,469.0775,1,171.1
,2570,469.0775,2,201.9
,2570,469.0775,5,96.0
,2571,250.2842,2,188.8
,2571,250.2842,5,61.4
,2572,106.1734,5,106.2
,2573,16.9784,5,17.0
,2574,350.23,2,282.5
,2574,350.23,3,2.7
,2574,350.23,5,65.0
,2575,981.4743,2,95.6
,2575,981.4743,3,247.9
,2575,981.4743,5,638.0
,2576,174.2442,3,174.2
,2577,1312.519,2,26.9
,2577,1312.519,3,376.3
,2577,1312.519,5,909.2
,2578,47.9223,3,8.7
,2578,47.9223,5,39.2
,2579,860.117,3,25.2
,2579,860.117,5,834.9
,2580,5512.6655,3,778.8
,2580,5512.6655,5,4733.9
,2581,2106.6075,5,2106.6
,2582,3130.1184,4,363.2
,2582,3130.1184,5,2766.9
,2583,3382.6891,5,3382.7
,2584,281.3129,5,281.3
,2585,260.132,5,260.1
,2586,2323.2503,5,2323.3
,2587,921.8587,4,19.8
,2587,921.8587,5,902.1
,2588,218.0548,5,218.1
,2590,1320.4637,4,675.6
,2590,1320.4637,5,644.8
,2594,2418.7155,4,219.8
,2594,2418.7155,5,2199.0
,2600,23.345,1,23.3
,2601,15.233,1,15.2
,2602,21.9723,1,22.0
,2603,9.2066,1,9.2
,2604,5.4946,1,5.5
,2605,9.2938,1,9.3
,2606,9.0325,1,9.0
,2607,10.2741,1,10.3
,2609,127.7951,1,127.8
,2611,1558.6312,1,70.2
,2611,1558.6312,2,156.6
,2611,1558.6312,5,1331.8
,2612,9.4532,1,9.5
,2614,11.1345,1,11.1
