,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
1321,2024,47490.0,RESIDENTIAL,73387.25,4856.6,68531.65,0.0,13172.0,890.0,12506.0,0.0,2278.0,0.4,47.5,759.0,24.3,6.8,9.5,1.3,0.5,1211.0
1322,2021,47630.0,RESIDENTIAL,112406.2,5932.0,106475.6,0.0,21048.0,798.0,20590.0,0.0,7070.0,1.1,41.3,955.0,23.0,7.0,8.8,1.0,0.9,2920.0
1323,2022,47630.0,RESIDENTIAL,124819.986,7768.400000000001,117053.386,0.0,22602.0,1086.0,22052.0,0.0,7037.0,1.1,41.5,955.0,23.0,7.0,8.8,1.0,0.9,2920.0
1324,2023,47630.0,RESIDENTIAL,134223.186,8814.4,125411.386,0.0,23702.0,1254.0,23062.0,0.0,7067.0,1.1,41.7,955.0,23.0,7.0,8.8,1.0,0.9,2920.0
1325,2024,47630.0,RESIDENTIAL,147871.06399999998,11260.4,136613.464,0.0,25270.0,1672.0,24448.0,0.0,7071.0,1.1,41.6,955.0,23.0,7.0,8.8,1.0,0.9,2920.0
1326,2021,47700.0,RESIDENTIAL,1083900.488,63636.8,1020269.888,0.0,243396.0,11864.0,234988.0,0.0,102044.0,1071.8,41.3,1005.0,23.7,10.4,14.6,2.2,4.3,40281.0
1327,2022,47700.0,RESIDENTIAL,1269489.35,101659.0,1167833.75,0.0,266806.0,18294.0,255316.0,0.0,102610.0,1077.7,41.3,1005.0,23.7,10.4,14.6,2.2,4.3,40281.0
1328,2023,47700.0,RESIDENTIAL,1413520.274,120228.8,1293301.874,0.0,284908.0,21788.0,271238.0,0.0,103706.0,1089.2,41.2,1005.0,23.7,10.4,14.6,2.2,4.3,40281.0
1329,2024,47700.0,RESIDENTIAL,1581689.322,152049.4,1429649.122,0.0,304864.0,27130.0,287688.0,0.0,104437.0,1096.9,41.3,1005.0,23.7,10.4,14.6,2.2,4.3,40281.0
1330,2021,47800.0,RESIDENTIAL,271719.808004,9091.800000000001,262628.808004,0.0,60214.0,1636.0,59158.0,0.0,5599.0,0.6,47.6,721.0,22.6,6.5,6.5,0.9,1.3,2853.0
1331,2022,47800.0,RESIDENTIAL,318867.20399999997,16212.0,302657.004,0.0,65406.0,2846.0,63712.0,0.0,5574.0,0.6,48.4,721.0,22.6,6.5,6.5,0.9,1.3,2853.0
1332,2023,47800.0,RESIDENTIAL,351590.21400000004,21812.2,329782.614,0.0,69384.0,3820.0,67092.0,0.0,5612.0,0.6,48.3,721.0,22.6,6.5,6.5,0.9,1.3,2853.0
1333,2024,47800.0,RESIDENTIAL,396284.036,31175.0,365115.23600000003,0.0,74388.0,5312.0,71254.0,0.0,5614.0,0.6,48.6,721.0,22.6,6.5,6.5,0.9,1.3,2853.0
1334,2021,47910.0,RESIDENTIAL,62379.02,2027.2,60351.62,0.0,12844.0,378.0,12536.0,0.0,2875.0,1.1,51.1,749.0,22.6,7.5,8.6,1.0,1.2,1548.0
1335,2022,47910.0,RESIDENTIAL,68897.70999999999,3369.8,65527.909999999996,0.0,13712.0,624.0,13206.0,0.0,2892.0,1.1,51.5,749.0,22.6,7.5,8.6,1.0,1.2,1548.0
1336,2023,47910.0,RESIDENTIAL,74726.71,4473.0,70254.71,0.0,14452.0,842.0,13760.0,0.0,2906.0,1.1,51.9,749.0,22.6,7.5,8.6,1.0,1.2,1548.0
1337,2024,47910.0,RESIDENTIAL,81731.63,5751.0,75982.23,0.0,15252.0,1048.0,14414.0,0.0,2948.0,1.1,51.5,749.0,22.6,7.5,8.6,1.0,1.2,1548.0
1338,2021,47980.0,RESIDENTIAL,476390.614048,33356.4,443032.214048,0.0,95002.0,6304.0,90326.0,0.0,39061.0,2737.2,42.9,1309.0,10.6,9.0,29.1,4.7,12.8,16940.0
1339,2022,47980.0,RESIDENTIAL,654348.406,55800.2,598545.206,0.0,105978.0,10032.0,99776.0,0.0,39092.0,2739.4,42.9,1309.0,10.6,9.0,29.1,4.7,12.8,16940.0
1340,2023,47980.0,RESIDENTIAL,727716.044,70693.2,657029.244,0.0,114100.0,12496.0,106766.0,0.0,39969.0,2800.9,42.4,1309.0,10.6,9.0,29.1,4.7,12.8,16940.0
1341,2024,47980.0,RESIDENTIAL,798057.556,89297.6,708768.7559999999,0.0,121438.0,15090.0,112616.0,0.0,40327.0,2825.9,42.2,1309.0,10.6,9.0,29.1,4.7,12.8,16940.0
1342,2021,48050.0,RESIDENTIAL,148035.92802,6054.8,141981.32802,0.0,37398.0,1136.0,36648.0,0.0,16429.0,42.7,59.8,675.0,23.8,10.1,10.6,2.1,2.6,9396.0
1343,2022,48050.0,RESIDENTIAL,170266.104,10394.800000000001,159871.304,0.0,40104.0,1884.0,39056.0,0.0,16721.0,43.5,60.2,675.0,23.8,10.1,10.6,2.1,2.6,9396.0
1344,2023,48050.0,RESIDENTIAL,188431.098,12872.2,175558.698,0.0,42276.0,2302.0,40986.0,0.0,16872.0,43.9,60.5,675.0,23.8,10.1,10.6,2.1,2.6,9396.0
1345,2024,48050.0,RESIDENTIAL,209489.498,16938.2,192550.498,0.0,44648.0,2910.0,43030.0,0.0,17124.0,44.5,60.7,675.0,23.8,10.1,10.6,2.1,2.6,9396.0
1346,2021,48130.0,RESIDENTIAL,175358.2,7364.8,167997.2,0.0,35504.0,1298.0,34690.0,0.0,6925.0,2.0,45.0,746.0,23.2,6.0,6.9,1.1,0.9,3151.0
1347,2022,48130.0,RESIDENTIAL,204542.498,13409.6,191138.298,0.0,38888.0,2210.0,37624.0,0.0,6969.0,2.0,44.5,746.0,23.2,6.0,6.9,1.1,0.9,3151.0
1348,2023,48130.0,RESIDENTIAL,226924.74599999998,16454.6,210476.346,0.0,41330.0,2752.0,39754.0,0.0,6958.0,2.0,45.1,746.0,23.2,6.0,6.9,1.1,0.9,3151.0
1349,2024,48130.0,RESIDENTIAL,261048.502,22513.4,238542.302,0.0,44620.0,3692.0,42538.0,0.0,6985.0,2.0,45.0,746.0,23.2,6.0,6.9,1.1,0.9,3151.0
1350,2021,48260.0,RESIDENTIAL,406264.016012,29901.6,376365.416012,0.0,82960.0,5308.0,79080.0,0.0,8086.0,2290.7,44.6,1350.0,10.9,8.9,27.2,3.9,13.0,3518.0
1351,2022,48260.0,RESIDENTIAL,577315.508,44567.0,532752.508,0.0,91446.0,7646.0,86540.0,0.0,8185.0,2318.7,43.7,1350.0,10.9,8.9,27.2,3.9,13.0,3518.0
